127.0.0.1 - - [26/Apr/2019:13:42:53 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:42:58 +0530] "GET /Mini_Project_Uf/Home.html HTTP/1.1" 200 16387
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:42:58 +0530] "GET /Mini_Project_Uf/css/style.css HTTP/1.1" 200 52073
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:42:58 +0530] "GET /Mini_Project_Uf/css/bootstrap.css HTTP/1.1" 200 141622
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:42:59 +0530] "GET /Mini_Project_Uf/css/owl.carousel.css HTTP/1.1" 200 7956
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:42:59 +0530] "GET /Mini_Project_Uf/css/font-awesome.css HTTP/1.1" 200 37414
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:42:59 +0530] "GET /Mini_Project_Uf/css/popuo-box.css HTTP/1.1" 200 7092
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:42:59 +0530] "GET /Mini_Project_Uf/css/viewbox.css HTTP/1.1" 200 3443
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:42:59 +0530] "GET /Mini_Project_Uf/js/jquery-2.1.4.min.js HTTP/1.1" 200 84349
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:42:59 +0530] "GET /Mini_Project_Uf/js/bootstrap.js HTTP/1.1" 200 67546
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:42:59 +0530] "GET /Mini_Project_Uf/js/jquery.magnific-popup.js HTTP/1.1" 200 45732
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:42:59 +0530] "GET /Mini_Project_Uf/js/responsiveslides.min.js HTTP/1.1" 200 3397
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:42:59 +0530] "GET /Mini_Project_Uf/js/owl.carousel.js HTTP/1.1" 200 37907
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:42:59 +0530] "GET /Mini_Project_Uf/js/jquery.viewbox.min.js HTTP/1.1" 200 4278
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:42:59 +0530] "GET /Mini_Project_Uf/js/jquery.flexisel.js HTTP/1.1" 200 8129
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:42:59 +0530] "GET /Mini_Project_Uf/js/move-top.js HTTP/1.1" 200 1330
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:42:59 +0530] "GET /Mini_Project_Uf/js/easing.js HTTP/1.1" 200 4758
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:43:00 +0530] "GET /Mini_Project_Uf/images/bg2.jpg HTTP/1.1" 200 146140
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:43:00 +0530] "GET /Mini_Project_Uf/images/bgc.jpg HTTP/1.1" 200 66449
